Architecture,Window,Layers,Units,LearningRate,Fold1_MSE,Fold2_MSE,Fold3_MSE,Fold4_MSE,Fold5_MSE,Fold6_MSE,Fold7_MSE,Fold8_MSE,Fold9_MSE,Fold10_MSE,Avg_MSE,Avg_MAE,Train_Time_sec
dense,5,6,16,0.01,0.0035888138227164745,0.004850159399211407,0.004965406376868486,,,,,,,,0.004468126532932122,0.04672033588091532,48.35
dense,5,6,16,0.005,0.003368052653968334,0.004868727643042803,0.00445391284301877,,,,,,,,0.004230231046676636,0.04506381352742513,43.08
dense,5,6,16,0.001,0.003837201278656721,0.005313533823937178,0.005128074903041124,,,,,,,,0.004759603335211675,0.04802221059799194,36.84
dense,5,6,16,0.0005,0.004254171624779701,0.008734364993870258,0.004297194071114063,,,,,,,,0.005761910229921341,0.05070285747448603,37.45
dense,5,6,32,0.01,0.003472393611446023,0.0045602815225720406,0.0045674811117351055,,,,,,,,0.004200052081917723,0.044631353269020714,36.51
dense,5,6,32,0.005,0.003636319190263748,0.00426351185888052,0.004661413375288248,,,,,,,,0.004187081474810839,0.042999789118766785,36.58
dense,5,6,32,0.001,0.0038244023453444242,0.005523572210222483,0.004312942270189524,,,,,,,,0.00455363894191881,0.04555076609055201,39.25
dense,5,6,32,0.0005,0.004305518697947264,0.007405958604067564,0.005288463551551104,,,,,,,,0.0056666469511886435,0.05030803009867668,38.89
dense,5,6,64,0.01,0.0028210910968482494,0.004907223861664534,0.0035116306971758604,,,,,,,,0.0037466485518962145,0.04108548412720362,33.06
dense,5,6,64,0.005,0.0028989254496991634,0.004126892425119877,0.0038440399803221226,,,,,,,,0.003623285951713721,0.03956670438249906,40.47
dense,5,6,64,0.001,0.003697599982842803,0.005839764606207609,0.0040838769637048244,,,,,,,,0.004540413850918412,0.044903479516506195,42.17
dense,5,6,64,0.0005,0.0052781254053115845,0.00643540732562542,0.004816656932234764,,,,,,,,0.005510063221057256,0.04854477569460869,40.22
dense,5,6,128,0.01,0.003023121040314436,0.0039963144809007645,0.0036921745631843805,,,,,,,,0.0035705366947998605,0.040433802952369056,37.54
dense,5,6,128,0.005,0.003177068894729018,0.0037440089508891106,0.003620669012889266,,,,,,,,0.003513915619502465,0.04006904487808546,51.92
dense,5,6,128,0.001,0.004024263471364975,0.004990288522094488,0.0037176774349063635,,,,,,,,0.0042440764761219425,0.04338526725769043,50.16
dense,5,6,128,0.0005,0.004334271885454655,0.007846204563975334,0.004172805231064558,,,,,,,,0.005451093893498182,0.04822203889489174,50.24
dense,5,6,256,0.01,0.003159560263156891,0.00453103706240654,0.003945971839129925,,,,,,,,0.0038788563882311187,0.041617674132188164,83.73
dense,5,6,256,0.005,0.0026522132102400064,0.0035263143945485353,0.0035048990976065397,,,,,,,,0.0032278089007983604,0.03747570514678955,85.35
dense,5,6,256,0.001,0.0033401164691895247,0.005849694367498159,0.004008687566965818,,,,,,,,0.0043994994678845005,0.044000095377365746,79.29
dense,5,6,256,0.0005,0.0035176665987819433,0.00581321120262146,0.0038396494928747416,,,,,,,,0.004390175764759381,0.04463852569460869,93.55
dense,5,8,16,0.01,0.004733248148113489,0.004582210909575224,0.004051304422318935,,,,,,,,0.004455587826669216,0.04620789736509323,58.48
dense,5,8,16,0.005,0.004217140376567841,0.005276300944387913,0.004511059727519751,,,,,,,,0.004668167016158502,0.04602732261021932,45.38
dense,5,8,16,0.001,0.004827114753425121,0.004937356803566217,0.004546628333628178,,,,,,,,0.004770366630206506,0.047871336340904236,45.97
