filename,orig_start,orig_end,block,avg_conf,t_start,t_end
B11,106,110,bottom_right,0.16306334634621936,7.0,7.266666666666667
A54,114,118,bottom_right,0.16341314365466433,7.533333333333333,7.8
A44,120,124,bottom_right,0.1665884753068288,7.933333333333334,8.2
B18,114,118,bottom_right,0.16701556642850238,7.533333333333333,7.8
B21,107,111,bottom_right,0.16757661104202268,7.066666666666666,7.333333333333333
A153,54,58,bottom_right,0.16977632939815515,3.533333333333333,3.8
A112,85,89,top_left,0.17044962421059606,5.6,5.866666666666666
B21,117,121,top_left,0.1726490194598833,7.733333333333333,8.0
B1,67,71,top_right,0.17269822607437768,4.4,4.666666666666667
A97,166,170,bottom_right,0.17294041812419889,11.0,11.266666666666667
B22,101,105,top_right,0.1738409342865149,6.666666666666667,6.933333333333334
B22,96,100,top_left,0.17389578943451245,6.333333333333333,6.6
B22,106,110,top_left,0.1749519288539886,7.0,7.266666666666667
A54,134,138,bottom_left,0.17510655224323268,8.866666666666667,9.133333333333333
A106,78,82,top_right,0.17575364311536149,5.133333333333334,5.4
B19,104,108,top_left,0.17586886733770368,6.866666666666666,7.133333333333334
B13,135,139,bottom_right,0.177081969132026,8.933333333333334,9.2
B16,135,139,top_right,0.17909961591164267,8.933333333333334,9.2
W34,95,99,bottom_right,0.17922454997897144,6.266666666666667,6.533333333333333
A114,117,121,bottom_right,0.1795122732718785,7.733333333333333,8.0
A57,139,143,bottom_right,0.1801491091648737,9.2,9.466666666666667
B19,109,113,bottom_right,0.1806228513518969,7.2,7.466666666666667
A114,97,101,bottom_right,0.18116007049878435,6.4,6.666666666666667
B18,104,108,top_left,0.18148502359787622,6.866666666666666,7.133333333333334
A54,129,133,bottom_left,0.18149416198333101,8.533333333333333,8.8
W34,100,104,bottom_right,0.18188675045967098,6.6,6.866666666666666
A112,90,94,top_left,0.1828308050831159,5.933333333333334,6.2
A56,153,157,bottom_right,0.18348383953173952,10.133333333333333,10.4
A87,164,168,bottom_left,0.18504440536101652,10.866666666666667,11.133333333333333
B7,124,128,bottom_left,0.1856213515003522,8.2,8.466666666666667
B19,99,103,top_left,0.1876069471240043,6.533333333333333,6.8
A54,139,143,bottom_left,0.18841550648212427,9.2,9.466666666666667
A86,122,126,top_right,0.19142649024724956,8.066666666666666,8.333333333333334
B6,139,143,bottom_right,0.19192629257837926,9.2,9.466666666666667
A86,117,121,top_right,0.19356727401415505,7.733333333333333,8.0
A57,134,138,bottom_right,0.19549043774604793,8.866666666666667,9.133333333333333
A114,112,116,bottom_left,0.1963757842779159,7.4,7.666666666666667
A157,141,145,top_left,0.196398551762104,9.333333333333334,9.6
B18,124,128,top_left,0.19664149483044935,8.2,8.466666666666667
A53,134,138,bottom_left,0.19798982342084248,8.866666666666667,9.133333333333333
B13,145,149,bottom_right,0.19927762399117147,9.6,9.866666666666667
A55,144,148,bottom_left,0.19956423491239547,9.533333333333333,9.8
A57,144,148,bottom_right,0.19972185542186094,9.533333333333333,9.8
B17,121,125,top_left,0.20144203503926592,8.0,8.266666666666667
A56,148,152,bottom_right,0.20199701537688572,9.8,10.066666666666666
A56,158,162,bottom_left,0.2023200266063213,10.466666666666667,10.733333333333333
A54,124,128,bottom_left,0.2027876734733581,8.2,8.466666666666667
A156,96,100,bottom_right,0.20318830112616218,6.333333333333333,6.6
B17,111,115,bottom_left,0.2046674485007922,7.333333333333333,7.6
A53,154,158,bottom_left,0.20617050975561138,10.2,10.466666666666667
A54,119,123,bottom_right,0.20658769508202865,7.866666666666666,8.133333333333333
A55,139,143,bottom_left,0.20866620490948354,9.2,9.466666666666667
B14,122,126,bottom_right,0.20997458100318903,8.066666666666666,8.333333333333334
B13,160,164,bottom_right,0.21022620995839433,10.6,10.866666666666667
A87,174,178,top_left,0.21104859262704848,11.533333333333333,11.8
A53,139,143,bottom_left,0.21129658371210094,9.2,9.466666666666667
A86,127,131,top_right,0.21228556533654527,8.4,8.666666666666666
A53,159,163,bottom_right,0.21323593556880951,10.533333333333333,10.8
A58,161,165,bottom_right,0.21341655701398846,10.666666666666666,10.933333333333334
A86,112,116,top_right,0.21359503865242002,7.4,7.666666666666667
B1,62,66,top_right,0.21362428491314248,4.066666666666666,4.333333333333333
A100,82,86,top_left,0.21445678174495694,5.4,5.666666666666667
A57,154,158,bottom_right,0.21502238412698105,10.2,10.466666666666667
A57,149,153,bottom_right,0.21605230470498396,9.866666666666667,10.133333333333333
A59,140,144,bottom_left,0.2161827305952708,9.266666666666667,9.533333333333333
A53,129,133,bottom_right,0.2164443920056025,8.533333333333333,8.8
A109,83,87,bottom_left,0.21705047537883118,5.466666666666667,5.733333333333333
A53,144,148,bottom_left,0.2173894683519999,9.533333333333333,9.8
A112,95,99,top_left,0.2181773116191228,6.266666666666667,6.533333333333333
A55,124,128,bottom_right,0.21820968886216482,8.2,8.466666666666667
A121,96,100,top_right,0.21913588742415105,6.333333333333333,6.6
A114,132,136,top_left,0.21950036436319353,8.733333333333333,9.0
A59,130,134,bottom_left,0.2216479664047559,8.6,8.866666666666667
A56,138,142,bottom_left,0.22199092755715052,9.133333333333333,9.4
W34,105,109,bottom_right,0.2233675842483838,6.933333333333334,7.2
A114,127,131,top_left,0.22397738248109814,8.4,8.666666666666666
A59,135,139,bottom_left,0.2242663487792015,8.933333333333334,9.2
A157,136,140,top_left,0.22444278697172795,9.0,9.266666666666667
A115,70,74,top_left,0.22483679056167602,4.6,4.866666666666666
A106,73,77,bottom_right,0.22511662046114603,4.8,5.066666666666666
