filename,orig_start,orig_end,block,motion,t_start,t_end
W21,69,73,top_right,776.698746904845,4.533333333333333,4.8
A108,155,159,top_right,776.6601533046731,10.266666666666667,10.533333333333333
A153,69,73,top_right,776.5710047860555,4.533333333333333,4.8
A25,74,78,top_left,773.1412730231306,4.866666666666666,5.133333333333334
G54,116,120,top_right,773.0856359900729,7.666666666666667,7.933333333333334
B20,105,109,top_left,770.3976875702207,6.933333333333334,7.2
A156,136,140,top_left,770.1592935341346,9.0,9.266666666666667
A110,109,113,top_left,768.2082007570655,7.2,7.466666666666667
A159,85,89,top_right,767.9746698297831,5.6,5.866666666666666
W40,134,138,top_left,767.5222370196859,8.866666666666667,9.133333333333333
A156,141,145,top_right,763.332345355834,9.333333333333334,9.6
G68,87,91,top_left,755.5345389109538,5.733333333333333,6.0
W36,121,125,top_left,755.0907418933995,8.0,8.266666666666667
A56,138,142,top_left,749.8807598140993,9.133333333333333,9.4
A45,130,134,top_left,746.3010700150978,8.6,8.866666666666667
A50,70,74,top_right,746.0206956398814,4.6,4.866666666666666
A100,107,111,top_left,745.8623851303101,7.066666666666666,7.333333333333333
A156,126,130,top_left,744.0181344635713,8.333333333333334,8.6
G74,96,100,top_right,741.2144378474069,6.333333333333333,6.6
A152,120,124,top_left,740.2860139407516,7.933333333333334,8.2
B7,154,158,top_right,735.4854612448578,10.2,10.466666666666667
B21,132,136,top_right,731.086569843478,8.733333333333333,9.0
B10,138,142,top_right,727.0242266701923,9.133333333333333,9.4
A150,47,51,top_left,727.0055474886567,3.066666666666667,3.3333333333333335
A54,104,108,top_right,726.7863537660664,6.866666666666666,7.133333333333334
A55,119,123,top_right,722.3442150987103,7.866666666666666,8.133333333333333
W39,79,83,top_left,722.1013740314422,5.2,5.466666666666667
A113,107,111,top_left,721.181430430048,7.066666666666666,7.333333333333333
W40,119,123,top_right,718.3751688527271,7.866666666666666,8.133333333333333
A152,105,109,top_right,716.1403342677094,6.933333333333334,7.2
A154,76,80,top_left,715.7316808734157,5.0,5.266666666666667
A120,65,69,top_right,714.959098062561,4.266666666666667,4.533333333333333
W07,74,78,bottom_left,711.9860711072539,4.866666666666666,5.133333333333334
B8,124,128,top_right,711.8947639098792,8.2,8.466666666666667
W34,105,109,bottom_left,711.673300626144,6.933333333333334,7.2
A78,80,84,top_right,710.3874843483084,5.266666666666667,5.533333333333333
A109,98,102,top_left,709.9891190732211,6.466666666666667,6.733333333333333
A157,151,155,bottom_left,708.0463498673276,10.0,10.266666666666667
B16,140,144,top_left,707.6568181590671,9.266666666666667,9.533333333333333
G61,144,148,top_right,707.6461477065894,9.533333333333333,9.8
W10,124,128,top_right,701.5019603510966,8.2,8.466666666666667
